Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT3,22,GD,0.2689219952079386
MOEAD,ZDT3,22,EP,0.6035149477524946
MOEAD,ZDT3,22,HV,0.46556310058285577
MOEAD,ZDT3,23,GD,0.2565164005975898
MOEAD,ZDT3,23,EP,0.7856119992636191
MOEAD,ZDT3,23,HV,0.4827188066458547
MOEAD,ZDT3,24,GD,0.1943933395031455
MOEAD,ZDT3,24,EP,0.488817687856379
MOEAD,ZDT3,24,HV,0.5889918755188546
MOEAD,ZDT3,25,GD,0.26782808364760785
MOEAD,ZDT3,25,EP,0.5867035622869483
MOEAD,ZDT3,25,HV,0.5074797245906756
MOEAD,ZDT3,26,GD,0.21905660428556317
MOEAD,ZDT3,26,EP,0.6355096453244916
MOEAD,ZDT3,26,HV,0.5434301362322724
MOEAD,ZDT3,27,GD,0.1865706263214315
MOEAD,ZDT3,27,EP,0.7292833359364359
MOEAD,ZDT3,27,HV,0.5492315869026985
MOEAD,ZDT3,28,GD,0.2512099051871186
MOEAD,ZDT3,28,EP,0.6041575179172952
MOEAD,ZDT3,28,HV,0.532717184368783
MOEAD,ZDT3,29,GD,0.19970270598994808
MOEAD,ZDT3,29,EP,0.5060250788382739
MOEAD,ZDT3,29,HV,0.6181775061271618
MOEAD,ZDT3,3,GD,0.2701295111611834
MOEAD,ZDT3,3,EP,0.7688334115058088
MOEAD,ZDT3,3,HV,0.4683863286388535
MOEAD,ZDT3,4,GD,0.20726695737816556
MOEAD,ZDT3,4,EP,0.503641660847775
MOEAD,ZDT3,4,HV,0.593419585157887
MOEAD,ZDT3,5,GD,0.23393420898437
MOEAD,ZDT3,5,EP,0.4387861254232479
MOEAD,ZDT3,5,HV,0.5831193407012328
MOEAD,ZDT3,6,GD,0.29825237313586483
MOEAD,ZDT3,6,EP,0.6147482018577357
MOEAD,ZDT3,6,HV,0.46312355299377544
MOEAD,ZDT3,7,GD,0.29154647133835415
MOEAD,ZDT3,7,EP,0.8640886795364304
MOEAD,ZDT3,7,HV,0.42358988928489916
MOEAD,ZDT3,8,GD,0.27234724447102493
